text,link,description
Business Loan for Doctors,business-loan-for-doctors,A loan designed to help your practice thrive Hasslefree and fast the Bajaj Finserv Business Loan for Doctors is a specialised offering that can help fund the expansion of your practice  from purchasing the latest medical equipment and software to training your staff on new procedures Apply today for a business loan for doctors of up to Rs lakh and receive funds in your bank account within  hours
Loan Against Property For Doctors,loan-against-property-for-doctors,Bajaj Finserv Loan Against Property for Doctors is designed to help you get secured highvalue financing for all your needs  from equipping your new nursing home to expanding your clinic space or refinancing your existing home loan Get a loan against property up to Rs crore with approval in just  hours
Indemnity Insurance,professional-indemnity-insurance-policy-for-doctors,
New,professional-indemnity-insurance-policy-for-doctors,
Apply Now,chartered-accountant-loan-application-form,
Personal Loan For Chartered Accountants,personal-loan-for-chartered-accountants,
Business Loan For Chartered Accountants,business-loan-for-chartered-accountants,
Loan Against Property For Chartered Accountants,loan-against-property-chartered-accountants,
Apply Now,loan-against-car-application-form,
New,loan-against-car-application-form,
Product Information,loan-against-car,
FAQ's,loan-against-car-faqs,
Check Preapproved Offer,pre-approved-personal-loan-offer,
Personal Loan EMI Calculator,personal-loan-emi-calculator,
Personal Loan Eligibility Calculator,personal-loan-eligibility-calculator,
Personal Loan Interest Rate,personal-loan-processing-fees-and-interest-rates,
Hybrid Flexi Personal Loan EMI Calculator,hybrid-flexi-personal-loan-emi-calculator,
Flexi Personal Loan,flexi-loans,Flexi Loans are the new way of borrowing funds in India where you get access to a preapproved loan limit based on your credit rating Borrow funds whenever you need them and prepay when you have additional funds in hand Also pay interest only on the amount you utilize out of the borrowed amount and get the option to pay just the interest amount as your EMI for first year Flexi Personal Loans are available for salaried individuals selfemployed individuals professionals and businessmen Find out more about our Flexi personal loan what they have to offer and how you can benefit from them here Simply withdraw money from your loan limit and transfer it directly to your account Partprepay your loan whenever you have surplus funds without any extra charge Reduce  EMI amount up to   by paying only interest as your EMI and principal amount at the end of your tenor No additional documentation or extra charges required to withdraw funds multiple times Withdraw and partprepay funds through the online customer portal Experia for hasslefree and smooth processing You are charged interest on a daily basis as per the amount utilized at the end of the day Check daywise interest calculation using our You should be between  to  years old You should be a salaried employee of either an MNC public or private company You should be an Indian citizen Select cities applicable You should be between  years old Your business should have a vintage of at least  years Your business should have its Income Tax returns filed for at least the past  year Step Click here to go to our online form Fill all the details and submit the form Step To get an instant approval select your required loan amount and tenor Step Our representative will get in touch with you to collect the required documents Step The money will be credited to your loan account You can then withdraw the funds you need and transfer them to your bank account within  hours You can also SMS SOL to  or give a missed call on Step Click here to go to our online form Fill all the details and submit the form Step Your application will be processed within  hours Step Our representative will get in touch with you to collect the required documents Step The money will be credited to your loan account You can then withdraw the funds you need and transfer them to your bank account within  hours You can also SMS BL to                 
FAQs,personal-loan-faq-questions,
Contact Us,personal-loan-contact-details,If you are looking for information about or if you would like to contact us you can if you are an existing customer Existing customers can get SMS updates in the following manner Your mobile number should be registered with us to use this facility Standard SMS charges apply If you are an existing customer you can login to our customer portal  Experia to Existing customers can visit our branch to                                           
Check Preapproved Offer,check-pre-approved-doctors-loan-offer,
New,check-pre-approved-doctors-loan-offer,
Personal Loan for Doctors,personal-loan-for-doctors,
Business Loan for Doctors,business-loan-for-doctors,A loan designed to help your practice thrive Hasslefree and fast the Bajaj Finserv Business Loan for Doctors is a specialised offering that can help fund the expansion of your practice  from purchasing the latest medical equipment and software to training your staff on new procedures Apply today for a business loan for doctors of up to Rs lakh and receive funds in your bank account within  hours
Loan Against Property For Doctors,loan-against-property-for-doctors,Bajaj Finserv Loan Against Property for Doctors is designed to help you get secured highvalue financing for all your needs  from equipping your new nursing home to expanding your clinic space or refinancing your existing home loan Get a loan against property up to Rs crore with approval in just  hours
Loan Against Car,loan-against-car,
New,loan-against-car,
Balance Transfer and Topup,car-loan-balance-transfer-and-top-up,
New,car-loan-balance-transfer-and-top-up,
Used Car Finance,used-car-finance,
Hybrid Flexi Car Loan,used-car-finance-with-hybrid-flexi-facility,
New,used-car-finance-with-hybrid-flexi-facility,
Product Information,loan-against-fixed-deposit,
FAQs,loan-against-fixed-deposit-faq-questionss,
Features and Benefits,fixed-deposit,
Fixed Deposit Calculator,fixed-deposit-calculators,
FD Interest Rates,fixed-deposit-fees-and-interest-rates,
Senior Citizen FD,fixed-deposit-for-senior-citizen,
FD Eligibility  Required Documents,fixed-deposit-eligibility-and-documents,
FAQs,fixed-deposit-faq,
National Pension Scheme,fixed-deposit/nps-national-pension-scheme,
PF,all-about-pf-provident-funds,
SuperCard,super-card,
Credit Card,credit-card,
Credit Card Eligibility Criteria,credit-card-eligibility-and-documents,
Track Credit Card Application Status,track-credit-card-application-status,
Credit Card Bill Payment,credit-card-bill-payment,
Credit Card Offers,credit-card-offers,
Credit Card Contact Details,rbl-credit-card-contact-details,
Bajaj Finserv Health,healthcare-services-by-bajaj-finserv-health,
COVID,covid-19-symptoms-preventions-and-treatment,
How to Open demat account,insights/how-to-open-demat-account,
Eligibility and Documents,eligibility-and-documents-required-to-open-demat-and-trading-account,
Fees and Charges,demat-trading-account-fees-and-charges,
Low Brokerage Demat and Trading Account,low-brokerage-trading-and-demat-account,
IPO,upcoming-ipo,
FAQs,health-insurances-faq-questions,
Product Information,health-insurance,
Product Information,car-insurance,
Third Party Car Insurance,third-party-car-insurance,
FAQs,car-insurance-frequently-asked-questions,
Product Information,home-insurance,
FAQs,home-insurances-faq-questions,
Product Information,life-insurance-child-plans,
Product Information,life-insurance-savings-plans,
COVID Protection Cover,covid-19-protection-cover,
Mobile Protection Plan,mobile-screen-insurance,
Wallet Care,wallet-protect-card-protection-insurance-plan,
Key Safeguard,key-replacement-insurance-cover,
Eyewear Assure,eyewear-assure,
Cycle Insurance,cycle-insurance-cover,
Cyber Security Cover,cyber-security-cover,
COVID Protection Cover,covid-19-protection-cover,
Key Safeguard,key-replacement-insurance-cover,
Handbag Assure,handbag-assure,
Dance Accident Insurance,dance-accident-insurance,
Product Information,extended-warranty,
FAQs,extended-warranty-faq,
Coverage Details,open-extended-warranty-coverage,
Product Information,bajaj-finserv-wallet-digital-emi-network-card,
Reviews,bajaj-finserv-wallet-reviews,
Contact Us,bajaj-finserv-wallet-contact-us,
Insta Credit,insta-credit-on-emi-card,
Travel on No Cost EMI,no-cost-emi-on-makemytrip?utm_source=HotOffers&utm_medium=TravelonEMI,
BLUESTAR,emi-network-bluestar-air-conditioners,
GODREJ,emi-network-godrej-air-conditioners,
HAIER,emi-network-haier-air-conditioners,
HITACHI,emi-network-hitachi-air-conditioners,
LG,emi-network-lg-air-conditioners,
LLOYD,emi-network-lloyd-air-conditioners,
ONIDA,emi-network-onida-ac,
VOLTAS,emi-network-voltas-air-conditioners,
WHIRLPOOL,emi-network-whirlpool-air-conditioners,
TCL,emi-network-tcl-air-conditioners,
O GENERAL,emi-network-eta-o-general-air-conditioners,
LENOVO,emi-network-lenovo-laptops,
IBALL,emi-network-iball-laptops,
HP,emi-network-hp-laptop,
DELL,emi-network-dell-laptop,
ASUS,emi-network-asus-laptops,
HAIER,emi-network-haier-led-tv,
LG,emi-network-lg-televisions,
LLOYD,emi-network-lloyd-television,
ONIDA,emi-network-onida-tv,
SAMSUNG,emi-network-samsung-tv,
SONY,emi-network-sony-led-tv,
TCL,emi-network-tcl-televisions,
VU,emi-network-vu-tv,
Insta EMI Card,insta-emi-network-card-apply-online,
Features and Benefits,emi-network-emi-card,
Eligibility and Documents,emi-network-emi-card-eligibility,
EMI Without Credit Card,emi-network-emi-without-credit-card,
Reviews and Ratings,emi-network-emi-card-reviews,
FAQs,emi-network-emi-card-faq,
Contact Us,emi-network-emi-card-contact-details,
Future Group EMI Card,future-group-co-branded-emi-network,
Features and Benefits,emi-network-health-emi-card,
Eligibility and Documents,emi-network-health-emi-card-eligibility,
Reviews and Ratings,emi-network-health-emi-card-reviews,
Contact Us,emi-network-health-emi-card-contact-details,
Flipkart,shop-online-flipkart,
Amazon,shop-online-amazon,
Samsung,shop-online-samsung,
micom,shop-online-mi,
Vivo,shop-online-vivo,
Realme,shop-online-realme,
OnePlus,shop-online-oneplus,
Oppo,shop-online-oppo,
iQOO,shop-online-iqoo,
Zebrscom,shop-online-zebrs,
Zebrscom,shop-online-zebrs,
Flipkart,shop-online-flipkart,
Amazon,shop-online-amazon,
Air Conditioners,emi-network-ac-air-conditioner,
Air Coolers,emi-network-air-cooler-on-emi,
Refrigerators,emi-network-refrigerator-on-emi,
Washing Machine,emi-network-washing-machine-on-emi,
Inverters  Generators,emi-network-invertors-on-emi,
Printers,emi-network-printers-on-emi,
Water Purifier,emi-network-water-purifiers-on-emi,
Air Purifier,emi-network-air-purifiers,
Room Heater,emi-network-room-heater,
Television,emi-network-led-and-lcd-tvs-on-emi,
Laptop,emi-network-laptop-on-emi,
Mobile Phone,emi-network-emi-mobile,
Camera,emi-network-camera-on-emi,
Tablets,emi-network-tablets-on-emi,
Mobile Phones,emi-network-emi-mobile,
Laptops,emi-network-laptop-on-emi,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
Modular Kitchen,emi-network-modular-kitchen-on-emi,
Mattresses,emi-network-mattress-on-emi,
Power BackupInverters and Batteries,emi-network-invertors-on-emi,
Home painting,emi-network-home-painting-services-on-emi,
Multispeciality Hospitals,emi-network-multispeciality,
Hair Restoration and Cosmetic Surgery,emi-network-hair-transplant-cosmetic-surgery,
Slimming  Beauty Treatment,emi-network-slimming-on-emi,
Dental Care,emi-network-dental-care-on-emi,
Eye Care,emi-network-eye-care-on-emi,
Stemcell Banking,emi-network-stemcell-banking-on-emi,
IVF and Maternity Care,emi-network-maternity-care-on-emi,
Hearing Aid,emi-network-hearing-aid-on-emis,
Diagnostic Care,emi-network-diagnostic-care-on-emis,
Wellness Services,emi-network-wellness-services-on-emi,
Homeopathy,world-homeopathy-day-10th-april,
Fitness Equipment,emi-network-sports-fitness-travel,
Domestic  International Holiday Package,emi-network-holiday-packages-on-emi,
Car Tyres and Accessories,emi-network-other-items-on-emi,
Education and Professional courses,emi-network-other-items-on-emi,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
MakeMytrip,shop-online-make-my-trip,
Yatra,shop-online-yatra,
Goibibo,shop-online-goibibo,
Get It Now,check-pre-approved-emi-card-offer,
Mortgage Loan,mortgage-loan,
Loan Against Property Eligibility,loan-against-property-eligibility-and-documents,
Reviews,loan-against-property-reviews,
Education Loan on Property,education-loan-on-property,
Gold Loan Interest rate,gold-loan-fees-and-interest-rates,
Gold Loan Eligibility,gold-loan-eligibility-and-documents,
FAQs,gold-loan-faq-questions,
Health Insurance,health-insurance,
Life Insurance,life-insurance,
Motor Insurance,motor-insurance,
Home Insurance,home-insurance,
Check Pre Approved Offer,check-pre-approved-emi-card-offer,
How to Apply,emi-network-emi-card-how-to-apply,
EMI Network Card,emi-network-emi-card,
Insta EMI Card,insta-emi-network-card-apply-online,
Gold Loan,gold-loan,
Loan Against Fixed Deposit,loan-against-fixed-deposit,
Loan Against Securities,loan-against-shares,
Insurance Offer,check-pre-approved-hdfc_pasa-offers,
Home Loan,home-loan,Bajaj Finserv offers highvalue Home Loan at an interest rate starting from  A home loan with us comes with a number of added benefits such as a flexible repayment tenor of up to  years interest subsidy through PMAY and the option of a topup loan when you transfer your existing home loan to us Whether youre looking to purchase construct or renovate a home the Bajaj Finserv Home Loan is the onestop solution for your housing loan needs Simple eligibility terms and minimal documentation requirements ensure the financing option is easy to apply for everyone Home Loans get more affordable than ever with assistance from the Pradhan Mantri Awas Yojana PMAY for firsttime homeowners Reduce your Home Loan EMIs with by getting a subsidy on your Home Loan interest rate Refinance your existing home loan with Bajaj Finserv with minimal documentation and faster processing Apply for and get a topup loan at a nominal interest rate Finance your other requirements with a highvalue topup loan over and above your existing housing loan Get a sizeable at a nominal rate of interest without any extra documentation Get a customised report to guide you through all the legal and financial aspects of being a property owner Partprepay or foreclose a loan on gold against zero charges Traders and builders can also get topup loans without paying any additional charges Flexible tenors ranging up to  years to fit your repayment capacity Easy and minimal documentation ensure that the application process is easy quick and hasslefree Online management of your Bajaj Finserv Home Loan using our digital customer portal for your convenience We offer customised insurance schemes to protect your family from the burden of repaying the housing loan in case of unforeseen events Note The PMAY subsidy scheme has been not extended by the regulatory authority for MIG I and II categories Please check the categorywise scheme validity below EWS and LIG categories are valid up to  March MIG I and MIG II categories were valid up to  March Eligibility criteria for the Bajaj Finserv Home Loan are simple any Indian national with a good financial profile can obtain funding Some of the criteria differ depending on whether you are salaried or selfemployed while other remain common For instance for two persons of the same age the one with a higher credit score is likely to be able to borrow a higher loan amount The upper age limit is considered as the age at the time of maturity of the loan Please note that the above list is indicative and additional documents may be required during processing of your application When you choose to borrow via the Bajaj Finserv Home Loan not only do you get access to all the abovementioned features but you also benefit from industryleading Additionally provisions such as no partprepayment or foreclosure fees interest subsidy for PMAY beneficiaries and a fullycustomised property dossier make this house loan one of the best in the market To easily calculate your eligibility for this featurerich housing loan use the Home Loan Eligibility Calculator and follow it up with the Home Loan EMI Calculator to know your EMIs Thereafter simply fill a short online form to apply A home loan as the name suggests is a financing solution that allows you to borrow funds to purchase a property at a predetermined rate of interest and repayment tenor You then repay the amount through EMIs and the lender which can be a bank or another financial institution retains ownership of the property till you pay the entire sum owed While home loans are typically intended for the purchase andor construction of a property some solutions also cater to renovation and repair Bajaj Finserv offers highvalue loans at competitive interest rates with the option of flexible repayment tenors extending up to  years Yes a house loan is eligible for a tax deduction include Section Cs deduction of Rs  lakh on the principal repayment and Section Bs deduction of Rs lakh on the interest repayment You can also claim home loan tax deduction for registration fees and stamp duty charges under Section C In the Union Budget  the government extended the additional deduction of Rs  lakh for interest repayment on home loan by  March  under the Section EEA to purchase a house costing up to Rs  lakh This additional deduction is being provided over and above the existing  lakh deduction As per RBI guidelines no lender is permitted to offer  home financing You need to make a down payment amounting to  of the propertys purchase price Typically you can obtain up to  housing loan financing for your property Any Indian national with a strong financial profile can avail of a home loan from Bajaj Finserv The home loan eligibility terms include The upper age limit is considered as the age at the time of maturity of the loan Bajaj Finserv requires you to have a minimum net monthly income of Rs to Rs in order to get a housing loan In places such as Delhi Gurugram Mumbai and Thane your monthly salary should be at least Rs In cities such as Bangalore Chennai Hyderabad and Goa you must earn at least Rs per month Salaried individuals with minimum  years of work experience can avail of a home loan of up to Rs  crore and selfemployed individuals having a business continuity of  years can avail funding up to Rs crore Please note that these figures are only indicative the actual amounts sanctioned vary on a case to case basis Use the Housing Loan Eligibility Calculator to know the maximum loan amount based upon your income tenor and current obligations The documents required for a Home Loan from Bajaj Finserv include Both types of home loans have their pros and cons With a fixedrate home loan the interest rate remains constant through the tenor which allows you to forecast EMIs Pick it when home loan interest rates are low For floating rate home loans the interest rate alters basis economic changes and RBI policy decisions Choose this variant when you expect rates to reduce in the time to come Additionally the RBI mandates that you do not need to pay any prepayment or foreclosure charges if youre an individual borrowing a floating rate home loan On the basis of the different requirements for housing loans and varied customer profiles the available in India are Availing of a home loan requires an individual to meet the eligibility criteria that ensure a borrowers capacity to repay The factors that affect eligibility are Yes you can switch from a floating rate of interest to a fixed rate during the repayment tenor of your housing loan You need to pay a nominal amount as a conversion fee to your lender for switching Switching from a floating to fixed rate is bestsuited when the market rates are expected to climb up Opting for a home loan is a smart financial decision for the following reasons No availing of two housing loans at a time for the same property is restricted as per the CERSAI However individuals can opt for a home loan balance transfer to refinance their existing housing credit at lower rates of interest The facility comes with the topup loan facility an additional loan over and above the existing loan amount Avail of the funds to meet diverse financial necessities with ease Proceed with the following steps to avail of a home loan with ease Ensure to meet all eligibility before applying The repayment period for loans begins immediately after the lender has disbursed the entire home loan amount However in cases of partial disbursal the interest accrued on such a disbursed amount is required to be paid as preEMI Full EMI payment including the principal and interest amount starts after full disbursal of the loan No it is not mandatory that you take home loan insurance along with your loan However you may consider getting an insurance to take care of any liability at a marginal increase in your EMIs You start paying your home loan EMI when the disbursement cheque is created Once you receive the loan amount you begin paying EMIs as per the EMI cycle This means if your chosen date for EMI repayment is the th of a month and you receive the loan on the th of the month then for the first month you pay the EMI calculated from the day your home loan was sanctioned to your first EMI date Next month onwards you pay regular EMIs on the designated day To avail of a Bajaj Finserv Home Loan apply online send us an SMS or visit our branch Send 'HLCI' to A Bajaj Finserv representative will contact you with your preapproved offer You can also obtain a Home Loan by visiting your nearest Bajaj Finserv branch
Home Loan Balance Transfer,home-loan-balance-transfer,Transfer the balance of your existing home loan to Bajaj Finserv and get an additional topup loan of a sizable amount Apart from the topup loan that comes free of any enduse restrictions you also gain the benefits of a competitive interest rate and the option to extend your repayment tenor Use our to compute your savings and topup loan eligibility Many borrowers opt to transfer their loan to a new lender to avail of a lower interest rate This is one of the key benefits as a lower interest rate translates to reduced EMIs and a lower interest payable on the loan To know all about the other benefits of a home loan balance transfer read on When you opt for a home loan balance transfer you can negotiate with your new lender for more suitable repayment terms You can also change your repayment to better match your repayment capabilities and goals You can avail of a topup when you transfer your loan The amount is free of enduse restrictions and you can use it to meet any expense right from a renovation project to an exotic vacation Avail of a topup loan up to Rs lakh with a Home Loan Balance Transfer Fill in your personal details Fill in your financial details Fill in your employment details Fill in your existing property details View your loan offer Submit your property details Pay the secure fee online Upload your documents The primary benefit of a home loan balance transfer is a lower rate of interest The facility thus reduces your monthly instalments Also you get to avail a highvalue up to Rs  Lakh Yes it is beneficial Refinancing your home loan helps you avail of a lower rate of interest enabling you to save on the total interest outgo No Refinancing your home loan will not lower your credit score It usually takes around  to  days to switch lenders You can apply for a Home Loan Balance Transfer from Bajaj Finservs official website Provide your personal details financial data employment details and existing property information to view your loan offer Next you have to submit your property details pay the secure fee and upload the relevant documents to apply for the transfer There is no maximum amount that you can transfer Your entire home loan outstanding balance gets transferred to the new lender Yes When you transfer your home loan to Bajaj Finserv you have the option to avail of a highvalue topup amount to meet other financial needs Yes Bajaj Finserv offers applicants the option to extend their repayment tenor Please note that the maximum age at the time of loan maturity cannot exceed  years in the case of salaried individuals and  years in the case of selfemployed individuals No you do not require a guarantor to go ahead with a home loan balance transfer Yes You can transfer your home loan to another person if you are selling your property to that same individual                        
Apply Now,home-loan-application-form,
Gold Loan Interest rate,gold-loan-fees-and-interest-rates,
Gold Loan Eligibility,gold-loan-eligibility-and-documents,
FAQs,gold-loan-faq-questions,
Fixed Deposit,fixed-deposit,
Mutual Funds,mutual-funds,
Online Trading,open-demat-trading-account-online,
Apply Now,apply-for-doctor-loan,
Home Loan for Doctors,home-loan-for-doctors,
Personal Loan for Doctors,personal-loan-for-doctors,
Business Loan for Doctors,business-loan-for-doctors,A loan designed to help your practice thrive Hasslefree and fast the Bajaj Finserv Business Loan for Doctors is a specialised offering that can help fund the expansion of your practice  from purchasing the latest medical equipment and software to training your staff on new procedures Apply today for a business loan for doctors of up to Rs lakh and receive funds in your bank account within  hours
Loan Against Property For Doctors,loan-against-property-for-doctors,Bajaj Finserv Loan Against Property for Doctors is designed to help you get secured highvalue financing for all your needs  from equipping your new nursing home to expanding your clinic space or refinancing your existing home loan Get a loan against property up to Rs crore with approval in just  hours
Indemnity Insurance,professional-indemnity-insurance-policy-for-doctors,
New,professional-indemnity-insurance-policy-for-doctors,
Apply Now,loan-against-car-application-form,
New,loan-against-car-application-form,
Product Information,loan-against-car,
FAQ's,loan-against-car-faqs,
Apply Now,car-loan-balance-transfer-application-form,
New,car-loan-balance-transfer-application-form,
Product Information,car-loan-balance-transfer-and-top-up,
FAQ's,car-loan-balance-transfer-and-top-up-faqs,
Product Information,bajaj-finserv-wallet-digital-emi-network-card,
Reviews,bajaj-finserv-wallet-reviews,
Contact Us,bajaj-finserv-wallet-contact-us,
Extended Warranty,extended-warranty,
Financial Fitness Report,financial-fitness-report,
Asset Care,asset-care,
Check PreApproved Offer,pply-for-credit-card?utm_source=Website&utm_medium=Organic&utm_campaign=apply__now,
New,pply-for-credit-card?utm_source=Website&utm_medium=Organic&utm_campaign=apply__now,
Product Info,super-card,
How to Apply,how-to-apply-for-a-credit-card,
Contact Us,credit-card-contact-details,
Gold Loan Interest rate,gold-loan-fees-and-interest-rates,
Gold Loan Eligibility,gold-loan-eligibility-and-documents,
FAQs,gold-loan-faq-questions,
Apply Now,home-loan-form,
PMAY,home-loan-pradhan-mantri-awas-yojana,Housing for All Mission for urban area has been implemented with effect from  to provide central assistance to implementing agencies The Credit Linked Subsidy Scheme is being offered under this mission For Middle Income GroupMIG the interest subsidy will be provided on housing loans for acquisitionconstruction of houses including repurchase For Economically Weaker SectionEWSLower Income GroupLIG the interest subsidy will be provided on housing loans for acquisition construction of house The Credit Linked subsidy would also be available for availed for new construction and addition of rooms kitchen toilet etc to existing dwellings as incremental housing The interest subsidy benefit will be upfront on the principal outstanding The availability and amount of interest subsidy is subject to meeting income criteria as per various categories under the scheme The Details mentioned above are based on the scheme framed by the Government of India under the Pradhan Mantri Awas Yojana PMAYUrban These are subject to change as and when there is a change in the scheme by the Government of India Benefit under this scheme can be availed only for Housing loans offered by Bajaj Housing Finance Limited The Pradhan Mantri Awas Yojana PMAY scheme was launched by the Government of India to boost the affordability of houses against an inflated real estate sector The scheme aims to achieve its objective of Housing for All by  March  the th birth anniversary year of Mahatma Gandhi by constructing  million houses across the nation Based on the areas that it caters to this Yojana has two parts  Urban and Gramin Beneficiaries can apply for PMAY through the following Individuals can visit the official website of the scheme to apply online They need to have a valid Aadhaar Card to apply Beneficiaries can apply for the scheme offline by filling up a form available through Common Service Centre CSC Price of these forms is Rs   GST Those eligible for the scheme can check their name in the by following these few steps Visit the official website Click Search Beneficiary Enter the Aadhaar number Click Show Existing home loan borrowers are eligible for this scheme provided they fulfil all the relevant eligibility criteria Pradhan Mantri Yojana has played a significant role in providing affordable housing The role of this scheme is not limited to making housing accessible and affordable to all irrespective of their financial stability but it has also created ample job opportunities in the real estate sector This scheme along with the inclusion of RERA led to the creation of about  Crore jobs across the nation                              
Flexi Home Loan,flexi-hybrid-home-loan,
Home Loan Balance Transfer,home-loan-balance-transfer,Transfer the balance of your existing home loan to Bajaj Finserv and get an additional topup loan of a sizable amount Apart from the topup loan that comes free of any enduse restrictions you also gain the benefits of a competitive interest rate and the option to extend your repayment tenor Use our to compute your savings and topup loan eligibility Many borrowers opt to transfer their loan to a new lender to avail of a lower interest rate This is one of the key benefits as a lower interest rate translates to reduced EMIs and a lower interest payable on the loan To know all about the other benefits of a home loan balance transfer read on When you opt for a home loan balance transfer you can negotiate with your new lender for more suitable repayment terms You can also change your repayment to better match your repayment capabilities and goals You can avail of a topup when you transfer your loan The amount is free of enduse restrictions and you can use it to meet any expense right from a renovation project to an exotic vacation Avail of a topup loan up to Rs lakh with a Home Loan Balance Transfer Fill in your personal details Fill in your financial details Fill in your employment details Fill in your existing property details View your loan offer Submit your property details Pay the secure fee online Upload your documents The primary benefit of a home loan balance transfer is a lower rate of interest The facility thus reduces your monthly instalments Also you get to avail a highvalue up to Rs  Lakh Yes it is beneficial Refinancing your home loan helps you avail of a lower rate of interest enabling you to save on the total interest outgo No Refinancing your home loan will not lower your credit score It usually takes around  to  days to switch lenders You can apply for a Home Loan Balance Transfer from Bajaj Finservs official website Provide your personal details financial data employment details and existing property information to view your loan offer Next you have to submit your property details pay the secure fee and upload the relevant documents to apply for the transfer There is no maximum amount that you can transfer Your entire home loan outstanding balance gets transferred to the new lender Yes When you transfer your home loan to Bajaj Finserv you have the option to avail of a highvalue topup amount to meet other financial needs Yes Bajaj Finserv offers applicants the option to extend their repayment tenor Please note that the maximum age at the time of loan maturity cannot exceed  years in the case of salaried individuals and  years in the case of selfemployed individuals No you do not require a guarantor to go ahead with a home loan balance transfer Yes You can transfer your home loan to another person if you are selling your property to that same individual                        
Extended Warranty,extended-warranty,
Health Insurance,health-insurance,
Life Insurance,life-insurance,
Motor Insurance,motor-insurance,
Home Insurance,home-insurance,
Extended Warranty,extended-warranty,
Financial Fitness Report,financial-fitness-report,
Asset Care,asset-care,
Check Preapproved Offer,check-pre-approved-business-loan-offer,
New,check-pre-approved-business-loan-offer,
Product Information,business-loan,
Calculator,business-loan-emi-calculator,
FAQs,business-loan-faq-questions,
Reviews,business-loan-reviews,
Gold Loan Interest rate,gold-loan-fees-and-interest-rates,
Gold Loan Eligibility,gold-loan-eligibility-and-documents,
FAQs,gold-loan-faq-questions,
Check Preapproved Offer,check-pre-approved-ca-loan-offer,
New,check-pre-approved-ca-loan-offer,
Personal Loan For Chartered Accountants,personal-loan-for-chartered-accountants,
Business Loan For Chartered Accountants,business-loan-for-chartered-accountants,
Loan Against Property For Chartered Accountants,loan-against-property-chartered-accountants,
Product Information,secured-business-loan,Meeting your businesss immediate and mediumterm funding needs is now convenient with a business loan against property Get highvalue loans of up to Rs lakh to fulfil diverse funding needs related to your business Avail of the to fund restocking inventory office renovation expansion of existing operations etc To avail the business loan against property fulfil the below eligibility requirements                                             
Apply Now,secured-business-loan-form,
Loan Against Property Eligibility,loan-against-property-eligibility-and-documents,
Loan Against Property Interest Rates,loan-against-property-fees-and-interest-rates,
Loan Against Property Calculator,loan-against-property-emi-calculator,
Mortgage Loan,mortgage-loan,
FAQs,loan-against-property-faq-questions,
Product Information,two-and-three-wheeler-loan,
FAQs,two-and-three-wheeler-loan-faqs,
Reviews,two-and-three-wheeler-loan-reviews,
Features and Benefits,nri-fixed-deposit,
Calculator,nri-fixed-deposit-calculators,
Invest Now,ixed-deposit-application-form,
Features And Benefits,ixed-deposit-systematic-deposit-plan,
Systematic Deposit Plan SDP calculator,dp-calculators,
